256
     8.000      0.000      0.000
     0.000      8.000      0.000
      1.000      -0.292       0.818       2.117
      1.000      -1.975      -2.342       3.176
      1.000       0.989       0.599       3.693
      1.000      -2.786       3.135      -1.897
      1.000      -0.843       3.813      -2.016
      1.000       0.443       0.054       1.397
      1.000      -0.855       0.001      -2.486
      1.000      -0.150      -2.267       0.568
      1.000      -3.819      -2.337      -1.733
      1.000      -1.193      -1.378      -0.862
      1.000       1.311      -3.467       0.106
      1.000       0.246       0.429      -2.502
      1.000      -1.719      -1.576      -2.120
      1.000      -0.126      -3.237      -2.445
      1.000       3.848      -3.714      -0.604
      1.000      -1.062      -1.735       2.771
      1.000      -3.666       3.424      -3.507
      1.000       2.185      -1.204      -0.642
      1.000       3.567      -0.397       1.439
      1.000      -3.275      -1.056       0.933
      1.000      -0.251       1.884       3.015
      1.000      -0.379      -0.476       3.375
      1.000       2.061      -3.483       2.743
      1.000       1.517      -1.807      -3.784
      1.000      -0.131      -1.079       1.138
      1.000      -2.409       2.402       3.599
      1.000       2.416       1.297       0.305
      1.000      -2.176      -1.397       1.189
      1.000      -3.830       1.033      -1.741
      1.000      -0.910      -1.042       1.778
      1.000       2.552       3.412       1.390
      1.000       0.411      -1.801       1.550
      1.000       2.198      -1.139       2.384
      1.000      -0.217      -3.294       3.345
      1.000       2.972      -3.594      -1.574
      1.000       3.760      -1.959      -2.750
      1.000      -2.345       2.467      -2.664
      1.000       0.350      -2.119      -3.616
      1.000       1.598       2.121       0.367
      1.000       1.903      -0.717       0.567
      1.000       3.911      -1.614      -0.972
      1.000       3.925       0.760       2.957
      1.000      -2.183      -2.700      -2.543
      1.000       2.482      -3.356       0.034
      1.000       0.029      -1.372      -2.713
      1.000      -3.366      -2.237       0.118
      1.000       0.516      -1.348       0.468
      1.000      -3.736      -2.853      -3.783
      1.000      -1.512       1.692      -1.457
      1.000       3.066       1.281      -0.767
      1.000       0.792      -1.052      -3.308
      1.000       0.259       2.553       1.965
      1.000      -3.136       2.309      -1.329
      1.000      -3.798      -2.785       1.166
      1.000       3.023       2.935       3.680
      1.000       2.197       3.181       0.322
      1.000      -0.165       2.515      -2.099
      1.000       0.188       3.998      -3.718
      1.000      -2.955      -1.817      -2.964
      1.000       3.965      -0.538      -1.467
      1.000       2.031       0.181       3.434
      1.000      -2.566      -3.140       3.645
      1.000      -1.851      -2.453      -0.083
      1.000      -2.892       1.474       2.642
      1.000       2.733       1.561       2.684
      1.000      -1.181      -3.069       3.645
      1.000       0.242      -0.252       2.491
      1.000       1.196      -1.898      -2.677
      1.000      -1.248       1.568       1.472
      1.000       1.454      -2.271      -0.033
      1.000      -0.710       3.250      -2.994
      1.000      -2.953      -3.291       1.739
      1.000       1.155      -2.509       1.615
      1.000       3.883       3.320       0.291
      1.000       0.417       3.542      -1.988
      1.000       1.427      -3.812      -3.440
      1.000      -2.383       3.594       2.558
      1.000       2.872      -0.042       3.948
      1.000       1.935      -1.675       1.636
      1.000      -2.944      -0.570      -1.804
      1.000       1.661       2.676      -0.574
      1.000      -2.684       0.493       2.365
      1.000      -1.799      -0.220      -2.982
      1.000      -3.413      -0.794       3.493
      1.000       2.624       0.022       1.158
      1.000      -0.260      -0.010      -1.397
20
